GO_ID	p_value
GO:1902107	0.00115649529797181
GO:1903708	0.00115649529797181
GO:0045621	0.00115649529797181
GO:0060759	0.00116077362495234
GO:0048524	0.00118177655140164
GO:2000106	0.00121491691798851
GO:0033157	0.00128828836267507
GO:0002823	0.00131879541859179
GO:0097300	0.00131879541859179
GO:0007056	0.00133055608317525
GO:0031401	0.00134948973586041
GO:0010389	0.00134948973586041
GO:0002397	0.00138136997576829
GO:0002502	0.00138136997576829
GO:0006458	0.00138136997576829
GO:2000401	0.00138323995219195
GO:0032609	0.00138323995219195
GO:0032649	0.00138323995219195
GO:0002294	0.00140358194035104
GO:0032729	0.00140647583265446
GO:0031348	0.00143147084342883
GO:0006275	0.0014447253860643
GO:0032635	0.001450683816855
GO:0032675	0.001450683816855
GO:2001252	0.00150081544738419
GO:0050821	0.0015046702899117
GO:0030220	0.001509319806343
GO:0090231	0.001509319806343
GO:0019724	0.00151011781457351
GO:1901224	0.00151964388695163
GO:0030183	0.00161212743018071
GO:0002369	0.00161894582556581
GO:0002724	0.00161894582556581
GO:1901873	0.00163165506951418
GO:0002250	0.00166544781950841
GO:0072524	0.00167407370673192
GO:0097527	0.00170740688216651
GO:0032200	0.00172281653022402
GO:0016064	0.00172567706195897
GO:0035966	0.00182239680693292
GO:0032102	0.0019163690555694
GO:0007596	0.00194248813704269
GO:0050688	0.00200073531464128
GO:0000302	0.00200247228492514
GO:0046635	0.0020241360792726
GO:2000516	0.00203336477285082
GO:0010761	0.00210972040755039
GO:0051851	0.00210972040755039
GO:1903312	0.00212103115364358
GO:1990830	0.00212103115364358
GO:0015980	0.00212870552678196
GO:0090306	0.00215861328904866
GO:0006909	0.00215861328904866
GO:0065004	0.00215861328904866
GO:0019674	0.00221328219341317
GO:0032091	0.00221328219341317
GO:0001910	0.00225619900716134
GO:0000910	0.00226323415308648
GO:0050671	0.00229179249561065
GO:0032728	0.00229379481184921
GO:0033260	0.00229379481184921
GO:0006270	0.00242869685958933
GO:0051315	0.00245071305911813
GO:0018193	0.00246570224361364
GO:2000406	0.00251640075425351
GO:0046596	0.00252626904215518
GO:0051085	0.00255769535190374
GO:0051053	0.00256424900909653
GO:0062207	0.00257703259896397
GO:0039531	0.00268561385526096
GO:0061640	0.00268561385526096
GO:0072332	0.00271284186628332
GO:0042255	0.00274360194466031
GO:0052372	0.00274360194466031
GO:0042267	0.0028193816252495
GO:0010972	0.00287829389404449
GO:0050868	0.00295227503672616
GO:0051402	0.00295227503672616
GO:0010572	0.00299038865844295
GO:0032527	0.00299038865844295
GO:0044818	0.00305487644072925
GO:1990823	0.0030994968501316
GO:0043370	0.00322431549621082
GO:0019080	0.00327013297665822
GO:0009416	0.00334029873710173
GO:0070665	0.00335178229187382
GO:0071897	0.00335610635268797
GO:0006268	0.00335610635268797
GO:0006977	0.00335610635268797
GO:0032495	0.00335610635268797
GO:0001959	0.00338061262750109
GO:0002286	0.00345787526015664
GO:0032386	0.00354493242038623
GO:0044774	0.00360813917361018
GO:0002285	0.00362421106235532
GO:0002474	0.00362421106235532
GO:0043085	0.00364495059731598
GO:0090266	0.00365646819509442
GO:1903504	0.00365646819509442
GO:0050866	0.00367618118395719
GO:0070266	0.00369052675840553
GO:0001562	0.00372855699609901
GO:0002230	0.00372855699609901
GO:0002363	0.00372855699609901
GO:0002228	0.00378090205155138
GO:0042832	0.00378948527369
GO:0019362	0.00378948527369
GO:0046496	0.00378948527369
GO:0051493	0.00378948527369
GO:0051054	0.00385324472793636
GO:0002708	0.00390425489254499
GO:0046638	0.00393956616611319
GO:2000109	0.00396491536004499
GO:1901800	0.00396880489615698
GO:1903052	0.00396880489615698
GO:0043280	0.0039693546505268
GO:0032984	0.00406030540356836
GO:0043281	0.00410594190281622
GO:0032755	0.00418744708266061
GO:0031396	0.00423349916030552
GO:0045582	0.00423448830498495
GO:0042093	0.00425904630420481
GO:0002695	0.00425904630420481
GO:0002292	0.00425904630420481
GO:0034644	0.00425904630420481
GO:0042100	0.00425904630420481
GO:0007599	0.00425904630420481
GO:0050817	0.00425904630420481
GO:0006839	0.00425904630420481
GO:0051668	0.00434649363620368
GO:0032732	0.00439095179218016
GO:0071260	0.00439095179218016
GO:0071674	0.00442605811825211
GO:0030888	0.0044941470918727
GO:0006986	0.00466290802758555
GO:0061082	0.00480477789689251
GO:2000404	0.00480477789689251
GO:0002281	0.00484883088452766
GO:0007076	0.00484883088452766
GO:0140131	0.00484883088452766
GO:0051250	0.00489407489070305
GO:0007095	0.00496768791203132
GO:0042256	0.00497811920558765
GO:0060056	0.00497811920558765
GO:1904415	0.00497811920558765
GO:1904417	0.00497811920558765
GO:0042771	0.00530156889402769
GO:0036503	0.00534599167817351
GO:0048025	0.00534599167817351
GO:0010212	0.00540513713269686
GO:0071496	0.00546354498687739
GO:0032607	0.00546354498687739
GO:0032647	0.00546354498687739
GO:0060907	0.0055658173178946
GO:0010508	0.00558397968046591
GO:0051090	0.005711789907122
GO:0140639	0.00579031568371519
GO:0140970	0.00579031568371519
GO:0051231	0.00582316354226323
GO:0071888	0.00582316354226323
GO:1903050	0.006160275755641
GO:0071677	0.00624614128284581
GO:0032204	0.00635672952958494
GO:0009394	0.00636720412546037
GO:0042307	0.00636720412546037
GO:1902807	0.00655018109849329
GO:0044773	0.00682533089672075
GO:0009123	0.00682533089672075
GO:0042325	0.00687292355719664
GO:0000209	0.00687292355719664
GO:0000966	0.00689603537414427
GO:0010934	0.00689603537414427
GO:0010935	0.00689603537414427
GO:0043372	0.00689603537414427
GO:0043903	0.00712584015477959
GO:0070507	0.00737689202356167
GO:0002573	0.00742190786285614
GO:0043369	0.00744478358136818
GO:0061081	0.00744478358136818
GO:0071824	0.00779415120951024
GO:0002711	0.00779415120951024
GO:0002685	0.00781680089621134
GO:0050691	0.00781680089621134
GO:0002710	0.00789709801188728
GO:0006734	0.00789709801188728
GO:0010458	0.00789709801188728
GO:0042742	0.00798942863123775
GO:0045953	0.00804406011391837
GO:0060340	0.00804406011391837
GO:0001932	0.00804406011391837
GO:0002269	0.00819782819656537
GO:0031342	0.00824171580650544
GO:0050686	0.0084165696533453
GO:0051988	0.0084165696533453
GO:0001911	0.00844015546025122
GO:0030335	0.00848018985908998
GO:0072657	0.00852928182686823
GO:0009262	0.00853637632944455
GO:0019692	0.00853637632944455
GO:1902115	0.00879425815420486
GO:0008380	0.00907596892569834
GO:0001774	0.00918280332627972
GO:0043029	0.00918280332627972
GO:0051345	0.00942799524670349
GO:0032872	0.00942799524670349
GO:1901875	0.00942799524670349
GO:0051101	0.00951890038633118
GO:0034614	0.00956749939549451
GO:0022408	0.00969808776290303
GO:0098586	0.00982865977079357
GO:1905897	0.00982865977079357
GO:2000134	0.00982865977079357
GO:0070059	0.0100636701205229
GO:0009060	0.0100849021737537
GO:0009225	0.0102371877490841
GO:0030890	0.0102371877490841
GO:0072593	0.0104957869685545
GO:0051403	0.0105452090178443
GO:0010631	0.0106630047443662
GO:0010819	0.0107079242756424
GO:0044771	0.0107079242756424
GO:0045348	0.0107079242756424
GO:0002244	0.0108514296292199
GO:0002768	0.0109535745536108
GO:0048661	0.0109573587191624
GO:0030866	0.0114287784475873
GO:0032611	0.0115740892300806
GO:0032651	0.0115740892300806
GO:0042130	0.0116382106254111
GO:0043549	0.0116382106254111
GO:0031055	0.0116860249450686
GO:0034080	0.0116860249450686
GO:1904667	0.0116860249450686
GO:2001057	0.0116860249450686
GO:0006304	0.0116860249450686
GO:0035872	0.0116860249450686
GO:0007062	0.0116860249450686
GO:0031098	0.0116860249450686
GO:2000107	0.0116860249450686
GO:0043368	0.0116860249450686
GO:0140894	0.0116860249450686
GO:0044790	0.011930192943033
GO:0070230	0.011930192943033
GO:0018107	0.012165659672204
GO:0035458	0.0122086286915662
GO:0060333	0.0122086286915662
GO:0007259	0.0122340099992796
GO:0050864	0.0122340099992796
GO:2000377	0.0122340534518071
GO:0002821	0.0122340534518071
GO:0045931	0.0122340534518071
GO:0071675	0.0122559925129204
GO:0061136	0.0123885119264753
GO:0002716	0.0123885119264753
GO:1901970	0.0123885119264753
GO:0006925	0.0124106203279338
GO:0044089	0.0124858981109114
GO:2000142	0.0126209446188772
GO:0070228	0.0127149041998257
GO:0071478	0.0128800439149939
GO:1901992	0.012918869256192
GO:0046633	0.0129567902961622
GO:1903573	0.0129567902961622
GO:0019083	0.0130230855065297
GO:0050878	0.0131405543681883
GO:0006935	0.0131827338543434
GO:0007034	0.0132693586804671
GO:0030330	0.0137712040054779
GO:1903322	0.0139676764000489
GO:0031589	0.0140478996861958
GO:0016239	0.0140830644923305
GO:0032465	0.0140830644923305
GO:2000278	0.0140830644923305
GO:2001238	0.0144509537233164
GO:0006809	0.0144509537233164
GO:0032436	0.0144509537233164
GO:0090151	0.0148445021795893
GO:0001818	0.0149694172895616
GO:0002377	0.0151480450027088
GO:0042330	0.0152292178494297
GO:0040017	0.0153166852762481
GO:0031334	0.0153166852762481
GO:0045006	0.0153166852762481
GO:0090232	0.0153166852762481
GO:0002835	0.0153166852762481
GO:0002838	0.0153166852762481
GO:0045003	0.0153166852762481
GO:0046719	0.0153166852762481
GO:1900125	0.0153166852762481
GO:2000110	0.0153166852762481
GO:0030100	0.0154292601909923
GO:0010232	0.0154818509887306
GO:0046209	0.0154818509887306
GO:0150104	0.0154818509887306
GO:0051881	0.0155184606326986
GO:0072527	0.0155184606326986
GO:0002824	0.015718101635337
GO:0009141	0.0157461443111191
GO:0002418	0.0157812380628255
GO:0043373	0.0157812380628255
GO:0007162	0.0157958706867076
GO:0006418	0.0158968228601114
GO:0007143	0.0158968228601114
GO:0070302	0.0158968228601114
GO:0032480	0.0163409070590092
GO:0042269	0.0163409070590092
GO:1901976	0.0163409070590092
GO:0090132	0.0167077274989167
GO:0002227	0.0168359338927848
GO:0002726	0.0168359338927848
GO:0030970	0.0168359338927848
GO:1903513	0.0168359338927848
GO:2000147	0.0169202000739019
GO:0042102	0.0169202000739019
GO:0002260	0.0169202000739019
GO:0039532	0.0176558327241854
GO:2000144	0.0177043579953935
GO:0007006	0.0177494300957428
GO:0046597	0.0177586669017133
GO:0009165	0.0179667416626445
GO:0045859	0.0179687160268341
GO:0044788	0.0182048983332477
GO:0007096	0.0182048983332477
GO:0045346	0.0182048983332477
GO:0070431	0.0182048983332477
GO:1903729	0.0182048983332477
GO:0072522	0.0183856686002381
GO:0007033	0.0187614603033152
GO:0006335	0.0187614603033152
GO:0009597	0.0187614603033152
GO:0044355	0.0187614603033152
GO:0045162	0.0187614603033152
GO:0046654	0.0187614603033152
GO:0099046	0.0187614603033152
GO:0043462	0.0187796847738467
GO:0045058	0.0187796847738467
GO:1903829	0.0188674398578433
GO:0060326	0.0188795931440588
GO:0010657	0.0192363804098343
GO:0050764	0.0192363804098343
GO:0002719	0.0193082695824417
GO:0034504	0.0194087011836641
GO:0090130	0.0194739431494234
GO:2000060	0.0194739431494234
GO:0030865	0.0198216520286251
GO:0007040	0.0198550477954009
GO:0035967	0.0198550477954009
GO:0080171	0.0198550477954009
GO:0007041	0.0200240341952061
GO:0001952	0.0201045200708957
GO:0010762	0.0203465030847112
GO:0045066	0.0203465030847112
GO:0033120	0.0203738368394512
GO:0031331	0.0210109490415643
GO:0051256	0.0220424877551333
GO:0051987	0.0220424877551333
GO:0062100	0.0220424877551333
GO:0032206	0.0220948340157852
GO:0043112	0.0220948340157852
GO:1903038	0.0220948340157852
GO:0046824	0.0230554696108524
GO:1901989	0.0232401451776289
GO:0044827	0.0232476412971257
GO:0002701	0.0232520323545674
GO:0030261	0.0232520323545674
GO:0048247	0.0232520323545674
GO:0019693	0.0236760893039983
GO:0060627	0.023721066984557
GO:0001701	0.0246682777647224
GO:1904996	0.025173780673591
GO:0009259	0.0252789331329737
GO:0010660	0.025551798727479
GO:0008333	0.025551798727479
GO:0050766	0.025551798727479
GO:0009612	0.025551798727479
GO:1903046	0.025551798727479
GO:0006509	0.0257084332422175
GO:0043457	0.0257084332422175
GO:0046636	0.0257084332422175
GO:0090329	0.0257084332422175
GO:0009263	0.0257084332422175
GO:0009265	0.0257084332422175
GO:0010820	0.0257084332422175
GO:0046385	0.0257084332422175
GO:0098792	0.0257084332422175
GO:1903265	0.0257084332422175
GO:0002429	0.0258344159240613
GO:0042092	0.0261192974521647
GO:0006520	0.0261192974521647
GO:0001934	0.0261192974521647
GO:0031343	0.0261192974521647
GO:0035739	0.0261192974521647
GO:0035855	0.0261192974521647
GO:2000561	0.0261192974521647
GO:0022904	0.0261192974521647
GO:0046653	0.0270432185734007
GO:0051382	0.0270432185734007
GO:0045342	0.0270432185734007
GO:0061620	0.0270432185734007
GO:0098761	0.0270432185734007
GO:0032757	0.0275096053190329
GO:0033619	0.0275096053190329
GO:0001836	0.0277017547163817
GO:0002715	0.0277017547163817
GO:0010543	0.0277017547163817
GO:0031571	0.028120815120388
GO:0044819	0.028120815120388
GO:0031123	0.0288478385987743
GO:0030225	0.0288547160667669
GO:0031295	0.0290216936445346
GO:1900182	0.0292160422509778
GO:0032205	0.0292725964278537
GO:0032781	0.0292725964278537
GO:0060391	0.0292725964278537
GO:0061900	0.0297638791567853
GO:0043484	0.0298357158970289
GO:2001242	0.0298357158970289
GO:0007160	0.030077757685105
GO:0006397	0.0307763175303011
GO:0002520	0.0310435464927298
GO:0031579	0.0311012901371276
GO:0043032	0.0311012901371276
GO:0006913	0.0312849965754239
GO:0051169	0.0312849965754239
GO:0002687	0.0313726315510472
GO:0006611	0.0314125771288136
GO:0015825	0.0314125771288136
GO:0070383	0.0314125771288136
GO:1901724	0.0314125771288136
GO:1990144	0.0314125771288136
GO:0031297	0.031460677841348
GO:0071407	0.0322999776725221
GO:2000058	0.0328079193894371
GO:0043039	0.0328079193894371
GO:0048821	0.0328079193894371
GO:2000515	0.0328403456663712
GO:0018210	0.0328421191216748
GO:0032886	0.0330817960296566
GO:0022900	0.0330817960296566
GO:0032945	0.0332483364430719
GO:0032612	0.0332955758981928
GO:0032652	0.0332955758981928
GO:0045132	0.0335220763141712
GO:0070841	0.033731878938466
GO:1903599	0.033731878938466
GO:0032602	0.0338047719458077
GO:0032642	0.0338047719458077
GO:0001776	0.0338212447232153
GO:0043525	0.0340059386278602
GO:0045807	0.0341888054157966
GO:0007005	0.0355370862164675
GO:0031294	0.0358880457068601
GO:0045622	0.0358880457068601
GO:0098927	0.0358880457068601
GO:0000375	0.0359530217482402
GO:0002200	0.0362107733750447
GO:0000018	0.0363764435765592
GO:0000466	0.0364283433325172
GO:0045591	0.0364283433325172
GO:0061615	0.0364283433325172
GO:0072540	0.0364283433325172
GO:0006099	0.0364620275408747
GO:0098884	0.0364620275408747
GO:0140239	0.0364620275408747
GO:0043009	0.0365944419752138
GO:0010569	0.0366244859546479
GO:0031397	0.0366244859546479
GO:0000377	0.0366244859546479
GO:0000398	0.0366244859546479
GO:0051438	0.0366244859546479
GO:1902532	0.0369259051807208
GO:0050871	0.0371846498644392
GO:0071900	0.0374104462694605
GO:0000022	0.0374104462694605
GO:0000727	0.0374104462694605
GO:0016554	0.0374104462694605
GO:0033313	0.0374104462694605
GO:0045835	0.0374104462694605
GO:0090267	0.0374104462694605
GO:1901678	0.0374104462694605
GO:0018105	0.0375837215636948
GO:0048545	0.0379781225274071
GO:0034620	0.0379808430492758
GO:1901222	0.0380944973288136
GO:0031503	0.0380944973288136
GO:0009144	0.0380944973288136
GO:0002544	0.0380944973288136
GO:0098760	0.0380944973288136
GO:0009150	0.0382023416097415
